Zone ID,11,21,22,23,24,31,41,42,43,52,71,81,82,90,95
Still Creek,0,66,8,0,0,0,280,72,72,0,0,41,19,0,0
Wissahickon Creek,41,3125,1316,595,149,0,1296,30,83,155,0,289,71,222,0
Stony Creek,190,293,0,0,0,0,8484,298,482,0,0,333,0,0,0
Mill Creek North,0,341,18,0,0,0,970,0,17,0,0,3350,1767,0,26
Locust Creek,140,1339,5,2,0,13,12169,1134,1089,0,0,1908,522,0,5
Tulpehocken Creek,139,382,358,38,0,0,253,6,0,0,0,1165,1440,19,0
Pine Creek,0,443,0,11,0,0,2836,0,52,425,33,559,834,414,0
Saucony Creek,0,345,276,31,0,0,104,0,0,0,0,921,3082,0,15
West Branch Schuylkill River,18,4,26,0,0,158,498,44,0,0,0,11,0,0,0
Mill Creek South,57,4915,938,217,56,0,4610,134,395,44,0,0,0,58,0
unamed trib of Cacoosing Creek,10,3434,3183,1438,547,0,1832,24,31,0,0,2552,2810,106,62
Trout Creek,291,5326,3813,4355,1922,15,1981,55,79,220,9,768,259,287,24
