Zone ID,11,21,22,23,24,31,41,42,43,52,71,81,82,90,95
Still Creek,1985,934,258,211,41,829,30616,1351,1084,0,0,1570,985,9,13
Wissahickon Creek,60,33960,19240,9967,3611,85,18053,303,543,2804,161,4758,2693,1672,6
Stony Creek,190,794,0,0,0,0,24558,480,724,0,0,631,298,0,0
Mill Creek North,62,3179,617,102,16,0,8538,155,81,0,0,19625,12745,58,187
Locust Creek,300,2482,78,8,0,85,21931,1281,1338,0,0,1952,522,0,5
Tulpehocken Creek,737,14401,13526,3758,1245,90,7521,171,19,0,0,47761,70507,122,138
Pine Creek,10,3072,75,55,0,11,31758,49,162,4272,865,2655,7078,1394,0
Saucony Creek,95,5779,2369,689,217,0,24192,62,179,2994,584,7087,15301,809,44
West Branch Schuylkill River,832,3900,1283,322,0,3349,52186,2088,1983,0,0,1074,497,0,5
Mill Creek South,141,19975,4687,2416,995,0,12321,556,1455,124,0,13,0,386,17
unamed trib of Cacoosing Creek,31,11805,7594,2359,729,0,15946,181,194,156,8,9203,6603,282,109
Trout Creek,532,16070,6374,5612,2375,15,10565,133,463,707,22,4300,357,559,74
